timestamp,received (kilobits per second),sent (kilobits per second),anomaly%,annotations
1781911593000,72.3660413,-122.0012683,-,-
1781911644000,69.2899967,-115.4264274,-,-
1781911695000,55.0662445,-80.3226349,-,-
1781911746000,46.1523348,-46.3448987,-,-
1781911797000,50.9832096,-69.9524347,-,-
1781911848000,51.7118644,-70.1004622,-,-
1781911899000,51.3415902,-67.1543665,-,-
1781911950000,939.1241964,-83.5856974,-,-
1781912001000,6337.3974935,-151.1383195,-,-
1781912052000,11791.9334131,-212.5187809,-,-
1781912103000,102.6909373,-87.1742843,-,-
1781912154000,54.9300924,-59.0917798,-,-
1781912205000,47.79646,-52.2896434,-,-
1781912256000,47.4264152,-49.5928825,-,-
1781912307000,47.6170581,-50.283893,-,-
1781912358000,47.6773433,-51.7879142,-,-
1781912409000,47.5745394,-51.041335,-,-
1781912460000,47.8228434,-54.5820679,-,-
1781912511000,48.5264246,-49.8451129,-,-
1781912562000,53840.2726758,-147.8435742,-,-
1781912613000,34893.7250098,-6421.8563607,-,-
1781912664000,612.4202995,-13328.58125,-,-
1781912715000,687.8546794,-14730.2809896,-,-
1781912766000,550.944821,-11038.6540625,-,-
1781912817000,615.949318,-13076.2271354,-,-
1781912868000,714.6523307,-15634.5977083,-,-
1781912919000,582.20479,-12524.0559896,-,-
1781912970000,271.9261922,-5282.3116191,-,-
1781913021000,45.7295886,-43.7631986,-,-
1781913072000,45.7345109,-43.8403263,-,-
1781913123000,45.8481523,-43.9532064,-,-
1781913174000,46.4205534,-44.0953573,-,-
1781913225000,47.2173655,-43.9486928,-,-
1781913276000,46.1721094,-43.5110758,-,-
1781913327000,45.3986501,-43.4210077,-,-
1781913378000,45.4629142,-43.5825248,-,-
1781913429000,45.5231763,-43.567583,-,-
1781913480000,46.3963908,-44.0197266,-,-
1781913531000,45.4394698,-43.4703947,-,-
1781913582000,46.8816724,-43.8688371,-,-
1781913633000,46.3452348,-43.7321484,-,-
1781913684000,45.1994019,-43.3199674,-,-
1781913735000,45.2377096,-43.2245229,-,-
1781913786000,1434.5247953,-766.31205,-,-
1781913837000,13237.0563544,-6910.1459241,-,-
1781913888000,3065.2413281,-6783.41875,-,-
1781913939000,152.9934102,-2360.0740198,-,-
1781913990000,46.4799276,-43.7064209,-,-
1781914041000,45.6417729,-43.5172221,-,-
1781914092000,46.0092383,-43.6343066,-,-
1781914143000,45.3673334,-43.4464317,-,-
1781914194000,45.2801648,-43.2886511,-,-
1781914245000,45.3162018,-43.3064748,-,-
1781914296000,46.7825382,-43.8254785,-,-
1781914347000,49.8321043,-45.0815776,-,-
1781914398000,50.209637,-45.3756254,-,-
1781914449000,45.1894183,-43.433787,-,-
1781914500000,45.4006144,-43.3803507,-,-
1781914551000,45.424199,-43.4981561,-,-
1781914602000,45.3326978,-43.4990898,-,-
1781914653000,45.5875346,-43.4439054,-,-
1781914704000,46.4703092,-43.6129175,-,-
1781914755000,46.9291809,-43.8475728,-,-
1781914806000,45.4171277,-43.6053389,-,-
1781914857000,45.3712762,-43.4880593,-,-
1781914908000,45.2737939,-43.4632048,-,-
1781914959000,45.8908195,-43.727994,-,-
1781915010000,1549.8000732,-1518.8031616,-,-
1781915061000,2001.3035783,-1961.2386711,-,-
1781915112000,47.0371997,-43.6371305,-,-
1781915163000,45.2767051,-43.1941123,-,-
1781915214000,45.2194332,-43.2416378,-,-
1781915265000,46.1105194,-43.8522552,-,-
1781915316000,45.7667497,-43.6678931,-,-
1781915367000,45.8222355,-43.4386505,-,-
1781915418000,46.089386,-43.42184,-,-
