timestamp,free (mebibytes),used (mebibytes),cached (mebibytes),buffers (mebibytes),anomaly%,annotations
1781905473000,927.9772233,1353.5539648,1562.8082943,23.7191048,-,-
1781905524000,965.6890104,1309.7523698,1568.6271354,23.9900391,-,-
1781905575000,962.1460286,1299.5754883,1582.0589844,24.2780924,-,-
1781905626000,940.5354948,1296.9994922,1605.9813802,24.5422266,-,-
1781905677000,931.1208594,1297.7488867,1614.4027995,24.7860482,-,-
1781905728000,968.8246615,1259.0511979,1615.1609896,25.0217448,-,-
1781905779000,968.2595996,1259.1192253,1615.4158529,25.2639583,-,-
1781905830000,947.5698242,1275.1516927,1619.7944661,25.5426432,-,-
1781905881000,938.0864062,1276.8811003,1627.2415951,25.8494922,-,-
1781905932000,945.1000521,1263.6157812,1633.2051302,26.1376302,-,-
1781905983000,927.8090755,1280.3746484,1633.5266341,26.3482324,-,-
1781906034000,883.3339323,1324.2809115,1633.844388,26.5993034,-,-
1781906085000,883.5125488,1323.4239909,1634.2857747,26.836263,-,-
1781906136000,881.6654687,1319.8606771,1639.4144271,27.1180599,-,-
1781906187000,869.3336621,1324.4934961,1646.8245703,27.4069303,-,-
1781906238000,866.1458008,1322.2852083,1651.943099,27.6845508,-,-
1781906289000,888.4688542,1299.3120964,1652.3277539,27.9499447,-,-
1781906340000,897.1605469,1289.9605469,1652.7772135,28.1602865,-,-
1781906391000,914.1100228,1272.4462305,1653.097181,28.4051595,-,-
1781906442000,917.0955924,1263.42625,1658.8931901,28.6435612,-,-
1781906493000,883.9693359,1287.6946484,1667.2920638,29.1025098,-,-
1781906544000,854.1111198,1312.5023958,1671.8317187,29.6133724,-,-
1781906595000,847.3728841,1319.2594076,1671.4459635,29.9804525,-,-
1781906646000,845.0554883,1321.0225391,1671.7886198,30.1919922,-,-
1781906697000,891.7331608,1273.5864518,1672.3138932,30.4249674,-,-
1781906748000,894.2486458,1264.0992187,1678.9875,30.723099,-,-
1781906799000,858.880931,1291.741862,1686.4331771,31.0026628,-,-
1781906850000,845.1082357,1301.9144531,1689.7710938,31.2648112,-,-
1781906901000,843.3602279,1303.3143945,1689.8654036,31.5184831,-,-
