timestamp,Committed_AS (mebibytes),anomaly%,annotations
1781908533000,2361.4484115,-,-
1781908584000,2361.5840625,-,-
1781908635000,2360.1702474,-,-
1781908686000,2360.3358073,-,-
1781908737000,2360.2306641,-,-
1781908788000,2371.9403125,-,-
1781908839000,2365.3125781,-,-
1781908890000,2370.9346354,-,-
1781908941000,2410.7629036,-,-
1781908992000,2443.8089063,-,-
1781909043000,2360.1241406,-,-
1781909094000,2360.255625,-,-
1781909145000,2360.2068359,-,-
1781909196000,2360.2682292,-,-
1781909247000,2362.1677344,-,-
1781909298000,2363.065,-,-
1781909349000,2359.8890365,-,-
1781909400000,2359.8328125,-,-
1781909451000,2358.714974,-,-
1781909502000,2358.4721354,-,-
1781909553000,2358.443151,-,-
1781909604000,2358.4315625,-,-
1781909655000,2358.4811849,-,-
1781909706000,2358.6403646,-,-
1781909757000,2358.580599,-,-
1781909808000,2360.5935417,-,-
1781909859000,2359.561862,-,-
1781909910000,2358.7513021,-,-
1781909961000,2358.7689844,-,-
1781910012000,2358.7597917,-,-
1781910063000,2358.864974,-,-
1781910114000,2361.4393229,-,-
1781910165000,2381.9425781,-,-
1781910216000,2370.7610417,-,-
1781910267000,2358.9966536,-,-
1781910318000,2359.1648177,-,-
1781910369000,2359.0982031,-,-
1781910420000,2359.3890625,-,-
1781910471000,2359.1975911,-,-
1781910522000,2359.200625,-,-
1781910573000,2359.3317057,-,-
1781910624000,2359.28,-,-
1781910675000,2359.0934245,-,-
1781910726000,2359.2111198,-,-
1781910777000,2359.383112,-,-
1781910828000,2359.3580208,-,-
1781910879000,2359.398138,-,-
1781910930000,2359.3152344,-,-
1781910981000,2359.3141797,-,-
1781911032000,2359.5164063,-,-
1781911083000,2359.5245833,-,-
1781911134000,2359.5750521,-,-
1781911185000,2359.6503255,-,-
1781911236000,2361.4307813,-,-
1781911287000,2366.7835937,-,-
1781911338000,2378.3755729,-,-
1781911389000,2388.4773047,-,-
1781911440000,2360.0197917,-,-
1781911491000,2359.9507292,-,-
1781911542000,2361.5736979,-,-
1781911593000,2362.2511328,-,-
1781911644000,2362.3031771,-,-
1781911695000,2362.406901,-,-
1781911746000,2362.4061979,-,-
1781911797000,2362.4765885,-,-
1781911848000,2362.6148958,-,-
1781911899000,2362.6345573,-,-
1781911950000,2382.9536458,-,-
1781912001000,2430.5020052,-,-
1781912052000,2505.0186458,-,-
1781912103000,2594.9798698,-,-
1781912154000,2494.9131771,-,-
1781912205000,2478.5769531,-,-
1781912256000,2479.1386979,-,-
1781912307000,2483.2806641,-,-
1781912358000,2485.3951302,-,-
1781912409000,2478.5439323,-,-
1781912460000,2456.2575521,-,-
1781912511000,2456.4616406,-,-
1781912562000,2458.8561458,-,-
1781912613000,2522.6883854,-,-
1781912664000,2588.4291146,-,-
1781912715000,2610.7088542,-,-
1781912766000,2612.779974,-,-
1781912817000,2610.8079297,-,-
1781912868000,2611.3842187,-,-
1781912919000,2583.0317708,-,-
1781912970000,2516.7079427,-,-
1781913021000,2466.2010156,-,-
1781913072000,2467.4088542,-,-
1781913123000,2469.0275521,-,-
1781913174000,2472.125625,-,-
1781913225000,2473.3895182,-,-
1781913276000,2474.1426042,-,-
1781913327000,2474.6614714,-,-
1781913378000,2475.066849,-,-
1781913429000,2475.4679948,-,-
1781913480000,2475.8828125,-,-
1781913531000,2476.3589453,-,-
1781913582000,2476.7229688,-,-
1781913633000,2477.4120182,-,-
1781913684000,2478.2971875,-,-
1781913735000,2479.0717448,-,-
1781913786000,2489.5250781,-,-
1781913837000,2574.676263,-,-
1781913888000,2573.3993229,-,-
1781913939000,2513.0995182,-,-
1781913990000,2481.8358073,-,-
1781914041000,2482.6014714,-,-
1781914092000,2483.4894792,-,-
1781914143000,2484.0514583,-,-
1781914194000,2484.5455208,-,-
1781914245000,2485.1198568,-,-
1781914296000,2485.9484896,-,-
1781914347000,2486.6666276,-,-
1781914398000,2486.9532031,-,-
1781914449000,2486.8941667,-,-
1781914500000,2487.3023438,-,-
1781914551000,2487.4982422,-,-
1781914602000,2487.4588021,-,-
1781914653000,2487.7598047,-,-
1781914704000,2488.0002604,-,-
1781914755000,2487.9786458,-,-
1781914806000,2488.0477604,-,-
1781914857000,2487.9711719,-,-
1781914908000,2487.9325,-,-
1781914959000,2487.9615365,-,-
1781915010000,2503.4065104,-,-
1781915061000,2508.0642839,-,-
1781915112000,2488.0707812,-,-
1781915163000,2488.1538151,-,-
1781915214000,2489.4095573,-,-
1781915265000,2488.4166667,-,-
1781915316000,2488.1397396,-,-
1781915367000,2491.5865234,-,-
1781915418000,2495.8741667,-,-
