timestamp,minor (faults per second),major (faults per second),anomaly%,annotations
1781914041000,14055.8156771,-0.9895375,-,-
1781914092000,13382.5808333,-1.1556779,-,-
1781914143000,14633.1129167,-0.05,-,-
1781914194000,13097.8075,-0.05,-,-
1781914245000,14368.3036458,-0.0375,-,-
1781914296000,13643.7566667,-0.0233333,-,-
1781914347000,13809.8247917,-0.5266667,-,-
1781914398000,14368.3215625,-0.82,-,-
1781914449000,13196.5852083,-0.0525,-,-
1781914500000,14873.2385417,-0.0666667,-,-
1781914551000,13276.4949479,-0.0525,-,-
1781914602000,14670.3190625,-0.0266667,-,-
1781914653000,13943.4990104,-0.0625,-,-
1781914704000,13608.11,-0.1,-,-
1781914755000,14403.5307292,-0.0791667,-,-
1781914806000,13135.8405208,-0.0166667,-,-
1781914857000,14468.5245312,-0.0166667,-,-
1781914908000,13454.034375,-0.0166667,-,-
1781914959000,14200.7725521,-0.0058333,-,-
1781915010000,14907.8036458,-0.3833333,-,-
1781915061000,14677.8894792,-0.5216667,-,-
1781915112000,13887.4279167,-0.06,-,-
1781915163000,13604.4495313,-0.0583333,-,-
1781915214000,13579.6144792,-0.4833333,-,-
1781915265000,13989.0872396,-0.1458333,-,-
1781915316000,13952.7802083,-0.0266667,-,-
1781915367000,13999.7038542,-0.0483333,-,-
1781915418000,13996.7209375,-0.1416667,-,-
