timestamp,received (kilobits per second),sent (kilobits per second),anomaly%,annotations
1781914245000,12.9633565,-11.0393595,-,-
1781914296000,14.3312695,-11.4768138,-,-
1781914347000,16.9362173,-12.2556425,-,-
1781914398000,17.1873011,-12.4486738,-,-
1781914449000,12.9579022,-11.4436829,-,-
1781914500000,13.063859,-11.1403931,-,-
1781914551000,13.0227961,-11.2476167,-,-
1781914602000,13.0448189,-11.4057702,-,-
1781914653000,13.259617,-11.2695252,-,-
1781914704000,14.1027393,-11.3563879,-,-
1781914755000,14.5711027,-11.6175639,-,-
1781914806000,12.9325722,-11.286054,-,-
1781914857000,12.9815883,-11.2620033,-,-
1781914908000,12.9843284,-11.3508181,-,-
1781914959000,13.3474149,-11.3463867,-,-
1781915010000,1600.5894399,-1523.9948334,-,-
1781915061000,2077.2441108,-1977.8214878,-,-
1781915112000,14.6714138,-11.32315,-,-
1781915163000,13.0034938,-10.9800053,-,-
1781915214000,12.9672729,-11.1319338,-,-
1781915265000,13.3655279,-11.2227287,-,-
1781915316000,13.1878109,-11.2298311,-,-
1781915367000,13.4838227,-11.2446961,-,-
1781915418000,13.7451468,-11.1871378,-,-
