timestamp,Dirty (mebibytes),Writeback (mebibytes),anomaly%,annotations
1781913735000,0.0431641,0,-,-
1781913786000,6.4836133,0,-,-
1781913837000,61.3818262,0,-,-
1781913888000,12.9697266,0,-,-
1781913939000,0.082819,0,-,-
1781913990000,0.069043,0,-,-
1781914041000,0.034987,0,-,-
1781914092000,0.0254818,0,-,-
1781914143000,0.044235,0,-,-
1781914194000,0.0425195,0,-,-
1781914245000,0.1594076,0,-,-
1781914296000,0.128125,0,-,-
1781914347000,0.0585156,0,-,-
1781914398000,0.028776,0,-,-
1781914449000,0.0275195,0,-,-
1781914500000,0.046224,0,-,-
1781914551000,0.0497103,0,-,-
1781914602000,0.039388,0,-,-
1781914653000,0.0359896,0,-,-
1781914704000,0.0328776,0,-,-
1781914755000,0.0240885,0,-,-
1781914806000,0.0185026,0,-,-
1781914857000,0.0357682,0,-,-
1781914908000,0.0267318,0,-,-
1781914959000,0.0240918,0,-,-
1781915010000,3.1654622,0,-,-
1781915061000,4.1343717,0,-,-
1781915112000,0.1030599,0,-,-
1781915163000,0.1117546,0,-,-
1781915214000,0.0293555,0,-,-
1781915265000,0.0220052,0,-,-
1781915316000,0.0217708,0,-,-
1781915367000,0.0228223,0,-,-
1781915418000,0.0297786,0,-,-
