timestamp,avail (mebibytes),anomaly%,annotations
1781913531000,2714.4378776,-,-
1781913582000,2711.981276,-,-
1781913633000,2707.5516797,-,-
1781913684000,2706.095,-,-
1781913735000,2706.9408203,-,-
1781913786000,2696.1847917,-,-
1781913837000,2624.2969271,-,-
1781913888000,2635.7423958,-,-
1781913939000,2679.1536849,-,-
1781913990000,2700.4329427,-,-
1781914041000,2701.4841146,-,-
1781914092000,2702.8929167,-,-
1781914143000,2700.6159896,-,-
1781914194000,2697.0982292,-,-
1781914245000,2696.4318359,-,-
1781914296000,2694.8978125,-,-
1781914347000,2693.6512891,-,-
1781914398000,2693.782474,-,-
1781914449000,2694.8952604,-,-
1781914500000,2694.9421875,-,-
1781914551000,2694.6998047,-,-
1781914602000,2693.8739062,-,-
1781914653000,2692.6329297,-,-
1781914704000,2690.4145833,-,-
1781914755000,2688.7698568,-,-
1781914806000,2690.5083854,-,-
1781914857000,2690.7080469,-,-
1781914908000,2690.57625,-,-
1781914959000,2688.8657682,-,-
1781915010000,2683.3976563,-,-
1781915061000,2685.3664974,-,-
1781915112000,2697.2748958,-,-
1781915163000,2696.2921094,-,-
1781915214000,2695.1220312,-,-
1781915265000,2694.4402344,-,-
1781915316000,2696.6115104,-,-
1781915367000,2696.1977214,-,-
1781915418000,2693.935625,-,-
