timestamp,Dirty (mebibytes),Writeback (mebibytes),anomaly%,annotations
1781907309000,1.5932324,0.0011719,-,-
1781907360000,8.1855469,0.0000651,-,-
1781907411000,3.3626823,0.0001204,-,-
1781907462000,1.0092773,0.0000846,-,-
1781907513000,0.3886328,0.0002441,-,-
1781907564000,0.3747266,0.0002865,-,-
1781907615000,2.8810547,0.000765,-,-
1781907666000,9.6359375,0.0024023,-,-
1781907717000,1.8830078,0.0001335,-,-
1781907768000,0.7221094,0.0001042,-,-
1781907819000,0.3899154,0.0001302,-,-
1781907870000,0.3506185,0.000293,-,-
1781907921000,3.2615299,0.0003646,-,-
1781907972000,7.0479036,0.0001563,-,-
1781908023000,0.874515,0.0000033,-,-
1781908074000,0.4158138,0.0000586,-,-
1781908125000,2.859847,0.0006999,-,-
1781908176000,1.664349,0.0004036,-,-
1781908227000,3.9492122,0.0000358,-,-
1781908278000,6.4768229,0,-,-
1781908329000,2.3840755,0.0000098,-,-
1781908380000,4.5464844,0.0000651,-,-
1781908431000,0.9137858,0.0011165,-,-
1781908482000,0.5928711,0.0004818,-,-
1781908533000,4.8593034,0.0016341,-,-
1781908584000,5.2671354,0.0213021,-,-
1781908635000,0.7113281,0.0369141,-,-
1781908686000,0.4152799,0.0007031,-,-
1781908737000,0.4455501,0.0000391,-,-
1781908788000,0.3667578,0.0003125,-,-
1781908839000,5.4713737,0.0004753,-,-
1781908890000,8.7193685,0.0003581,-,-
1781908941000,6.1443066,0.0001725,-,-
1781908992000,0.4271094,0.0004948,-,-
1781909043000,0.3208366,0.0019499,-,-
1781909094000,0.3983659,0.0018945,-,-
1781909145000,5.9559733,0.0026204,-,-
1781909196000,3.5532031,0.0011849,-,-
1781909247000,0.5395898,0.000651,-,-
1781909298000,0.3819141,0.0009766,-,-
1781909349000,0.4985059,0.0000553,-,-
1781909400000,0.355013,0,-,-
1781909451000,6.8600033,0.0010514,-,-
1781909502000,2.8591602,0.0006445,-,-
1781909553000,0.6011914,0.0003906,-,-
1781909604000,0.4921484,0.0002344,-,-
1781909655000,0.4309245,0,-,-
1781909706000,1.2744857,0,-,-
1781909757000,7.4420215,0,-,-
1781909808000,2.1692448,0,-,-
1781909859000,0.4986165,0.0003385,-,-
1781909910000,0.4967122,0.000944,-,-
1781909961000,0.54111,0.0012305,-,-
1781910012000,1.8766797,0.0009635,-,-
1781910063000,7.5992839,0.0009668,-,-
1781910114000,2.1141276,0.0019076,-,-
1781910165000,0.6263346,0.0006022,-,-
1781910216000,0.3093359,0.0000521,-,-
1781910267000,0.3156608,0.0000879,-,-
1781910318000,2.6045052,0.0001367,-,-
1781910369000,6.7950228,0.0000781,-,-
1781910420000,0.7695964,0.0005208,-,-
1781910471000,0.3925195,0.0001335,-,-
1781910522000,0.3445703,0.0000651,-,-
1781910573000,0.3256478,0.0000651,-,-
1781910624000,3.3368229,0.0000391,-,-
1781910675000,6.0679688,0,-,-
1781910726000,0.5795638,0.0001693,-,-
1781910777000,0.3029264,0.0016081,-,-
1781910828000,0.2979557,0.0003385,-,-
1781910879000,5.2814062,0.0003809,-,-
1781910930000,8.0293294,0.0003255,-,-
1781910981000,5.6704883,0.000179,-,-
1781911032000,0.9988021,0.0005208,-,-
1781911083000,0.3260156,0.0010807,-,-
1781911134000,0.3344271,0.0017448,-,-
1781911185000,0.3603678,0.0004557,-,-
